text,富强,民主,文明,和谐,自由,平等,公正,法治,爱国,敬业,诚信,友善
“阿伯阿姨们，关好门窗，收好工具，人不出门，车不上路！”7月25日下午，在福建省平潭综合实验区苏平片区剑湖村，响亮的声音从村里大喇叭传出。听到广播，村民游天钦收好户外物品，随后关门闭窗。点开手机微信，村网格群里各项防台风措施和应急救助联系方式已推送，台风“格美”的路径也在群里实时分享，“信息及时，心里就踏实！”曾担任村干部的游天钦，对这几年村里防台风防汛的变化感受深刻。在平潭，全区192个“村村响”大喇叭和覆盖各小区的应急广播等，用普通话、方言循环播放台风预警和气象服务信息。“快！直升机立马出动！”7月26日，在平潭东庠岛，上演了一场惊心动魄的空中救援。13时55分，平潭海上搜救中心接报，一名群众突发疾病，需紧急送医治疗。受台风影响，风浪较大，船舶接送存在危险且航程时间较长。搜救中心决定就近协调救助直升机开展紧急救援。45分钟内，直升机完成起飞、接送到降落，患者及时入院治疗，目前情况稳定。“如果不是及时的信息沟通和网格员的帮助，后果不堪设想。”谈及援救过程，病人家属说。防台风防汛期间，平潭明确信息统一数据、统一口径、统一出口，信息下达有落地，求援上传有回音。台风“格美”登陆福建期间，依托包村网格化工作机制，平潭5324名党员干部下沉一线，进村入户，确保船不离港、人不出海。,0,0,0,1,0,0,0,0,0,1,0,0
“不出门，不出院，做草编，把钱赚。”在四川省渠县龙凤镇，常见村民们三三两两聚在一起，边拉家常边做草编。草编是渠县传统的手工技艺。龙凤镇小麦种植面积3000余亩，每年小麦收获后，秸秆就成了村民眼中的宝贝。将小麦秸秆筛选后，织草编，做草帽，“点草成金”。“每天至少能编3条，一条卖6元，每月400多元装进腰包。”村民陈广哲说。传统老手艺，富民大产业。如今，编织草帽实现了机械化。渠县草编传承人余传明说，“以前全靠手工编织，一顶草帽一个人要编上一天。现在有机器帮忙，一台机器一天可以制作400多顶成品草帽。”龙凤镇按照“支部+协会+编织户”的模式，发展草帽厂20家、草编专业户300余户，“龙凤草编”年产值3000余万元，带动6000余名村民实现家门口就业。乡亲们巧手编出的产品也从单一的草帽，延伸出了蒲扇、提篮、枕套等工艺品。不断拓宽的增收“好路子”，鼓起了农民的“钱袋子”。,1,0,1,1,0,0,0,0,0,0,0,0
“超市要10盒草莓，邻居也订了5盒。”西藏自治区拉萨市尼木县聂玉村村民普琼正在大棚里培育新一批的草莓苗，就听到儿媳急匆匆的声音。“以前不知道草莓是什么，没见过也没吃过。现在一天到晚围着它转，日子像草莓红又甜。”普琼的脸庞布满笑容，没想到自己年过半百还学会了种植草莓。2019年，在北京市对口支援资金、技术帮助下，普琼第一次接触到蔬菜种植，主动承包了一个蔬菜大棚，“免承包费，收益纯是自己的。”普琼说，那年自己刚刚脱贫，也想通过双手致富。“为了巩固脱贫攻坚成果，县里让群众负责生产和日常管理，县净土公司利用渠道优势负责市场营销。”尼木县农业农村局局长孙晋英说。大棚里的蔬菜一年能收3次左右，不像传统的青稞，一年一熟。这让普琼高兴又激动，他说：“2019年光一个菜棚，就赚到了2万多元。”2023年8月，在援藏资金支持下，北京顺义区龙湾屯镇向尼木县捐赠9000株红颜草莓苗、2000棵美早樱桃树苗。普琼开始尝试种草莓：“当时县里让我承包一个草莓大棚，我开心地接受了。”普琼每天早上5点多就起床赶往大棚，忙完草莓大棚，又赶往蔬菜大棚，浇水、育苗……“国家的政策这么好，我们更要努力干，感觉自己现在浑身有使不完的劲。”普琼说。,1,0,0,0,0,0,0,0,0,1,0,0
“从此我们一心一德，团结到底，在中国共产党的领导下，誓为建设平等自由幸福的大家庭而奋斗！此誓。”这是矗立在云南宁洱的民族团结誓词碑上镌刻的一段铭文。经历了70多年风雨，碑仍在，文更亮。今天，我们一字一句再次读诵这些文字时，依然能感受到心头上的震撼。大家庭，就要靠大家来共同维护。多民族、多文化是我国的一大特色，也是我国发展的一个重要动力。唯有通过中华民族共同体意识，将各民族凝聚在一起，才能让这个发展动力持续顺畅、源源不断、一往无前地输送出来，加速实现中华民族伟大复兴的中国梦。,0,0,0,1,0,1,0,0,1,0,0,0
“从小立大志，瑞莲吐新荷。徐州抗洪涛，西湖荡清波。一心为百姓呀，何惧困难多”……走进四川省眉山市苏洵小学的多功能教室，正是课前一分钟。三年级（9）班的学生们正在唱儿歌，还不时加入动作，双臂举在胸前，化身手捧“书卷”的小诗人。一旁，两个“生面孔”正依次分发印有传统纹饰的书签，引来孩子们好奇的眼神。这时，铃声响起，班主任走到讲台前：“今天，我们邀请四川大学锦江学院的两位老师来上课。”简单的开场白后，思政课教师周巍提问：“同学们，先来猜个谜语，打一个人名，看谁猜得又快又准。”一说猜谜，班上立马活跃起来。“眉山人”“唐宋八大家”“明月几时有，把酒问青天”……听到一条条线索，谜底就在嘴边，孩子们纷纷举手抢答，“苏轼”“东坡居士”“苏子瞻”。“很棒。我们这位‘老乡’确实太有名气。”周巍说，在眉山，三苏祠、东坡城市湿地公园等地方都与苏轼有关。“如果没有苏轼，生活会有什么不同？”一个假设，让学生陷入思考。前后排4人成组，大家展开了讨论——“中华文学宝库可能就少了像《念奴娇·赤壁怀古》这样的千古名篇。”“没有他，西子湖畔就没有造福百姓的苏堤。”“也许就没机会看到东坡提梁壶，设计多么精美。”…………旁听的几名教师也纷纷加入，鼓励学生：“想法很有创意！”“一个有趣的回答。,0,0,1,0,0,0,0,0,1,1,0,0
“村霸”“街霸”“矿霸”……一大批为害一方的黑恶势力土崩瓦解，一个个作恶多端的黑恶分子被绳之以法，一个个“保护伞”被拔除，一张张关系网被摧毁。报告指出，对孙小果、杜少平、陈辉民、黄鸿发等依法判处并执行死刑。人民法院依法审判，不仅扫黑除恶，还要“打伞破网”，让黑恶势力无所遁形，真正增强人民群众的获得感、幸福感、安全感。数据显示，五年来，人民法院审结严重暴力犯罪案件23.8万件27.4万人，审结毒品犯罪案件34.7万件44.2万人。我国刑事犯罪案件、严重暴力犯罪案件总体呈持续下降态势。“反腐败是最彻底的自我革命”。报告显示，人民法院依法从严惩处孙政才等92名原中管干部，彰显党中央有腐必惩、有贪必肃的坚定决心。不仅打虎，还要灭蝇。报告提及，坚决惩治侵害群众利益的“蝇贪”“蚁腐”，对挪用惠农资金、克扣征地补偿款、贪污危房改造补助等腐败犯罪严惩不贷。此外，严厉打击网络赌博犯罪，严惩散布虚假信息、危害网络生态的犯罪行为，严惩危害食品药品安全犯罪，严厉打击整治养老诈骗等，人民法院用司法密织保护群众的安全网。,0,0,0,0,0,0,1,1,0,0,0,0
“村里的孩儿”音乐班成立5年多了。刚开始的时候，谁也不会想到，这群娃娃能受到如此多的关注，能登上更大的舞台，能亲眼去看看更广阔的世界。大学毕业后，我来到黑龙江省安达市任民镇中心小学任教。那时，我是这里唯一的音乐教师，负责所有年级的音乐课。音乐，能给这里的孩子们带来什么？我始终在思考。随着更多同事的到来，我们碰撞出一个想法：成立一个校内音乐班，让有天赋、感兴趣的孩子能走得更远。万事开头难。乐理知识、歌唱技巧倒还是其次的，最难的是让孩子们自信开口。起初，没有多少孩子主动加入，我们就借“老鹰抓小鸡”的游戏半开玩笑地把他们“赶到”音乐教室，利用午休时间，一对一辅导。为了帮助他们克服紧张情绪，我们让孩子们轮流上台唱歌。唱错了，就重头来过；唱对了，就掌声鼓励。为了拉近他们与音乐的距离，我们经常把特有的东北元素融入歌曲。“小鸡炖蘑菇”“冰天雪地”……贴近生活的歌词引起了孩子们的兴趣。然后，我们再传授合唱技巧、乐器演奏知识。从担心跑调，到大胆开口，再到登上地方春晚舞台自弹自唱，孩子们的乐感、音准更好了。更重要的是，他们的动作更自然了，眼神更大方了，笑容也更多了。,0,0,1,0,0,0,0,0,0,1,0,1
“大家看，这是我们村自己种的枣子，个大保甜。”10多平方米的房间里，摆放着5台电脑，生宏水果种植农民专业合作社负责人卢德鑫正在直播带货。卢德鑫的合作社位于成都东部新区高明镇三大湾村，地理条件优越，气候暖湿宜人，以脆李、樱桃等水果种植为主导产业，年产值可达1000余万元。“近年来，为推动农业农村现代化，新区构建了‘一环一廊一带’乡村产业空间布局。”成都东部新区相关负责人介绍，“一环”即环港都市现代农业发展示范区，聚焦“临空+农业”“都市+农业”。“一廊”即龙泉山东麓农旅融合示范走廊，重点发展农旅休闲、水上运动等业态。“一带”则是沱江谷地绿色农业示范带，重点发展优质粮蔬果种植等产业。今年以来，成都东部新区加快打造临空都市现代农业、宜居宜业和美乡村、联农带农增收致富“三大示范区”。据了解，到2025年，成都东部新区将建成市级宜居宜业和美乡村20个、示范庭院1000个。,1,0,0,0,0,0,0,0,0,1,0,0
“大家看看这幅画，画里是阴天还是晴天？”站在约翰·康斯特布尔的画作《史特拉福磨坊》前，上海博物馆教育部工作人员李宏洁向一群孩子提问。“是晴天，因为天上的云很亮！”“水上的倒影在发光！”此起彼伏的抢答声，让人忽略了这群孩子有些特殊：有人坐在轮椅上，有人需要依靠着志愿者，还有人一边看画，一边看向李宏洁身边的手语翻译唐文妍。昨天下午，周一例行闭馆的上海博物馆开门迎接了一群特殊的参观者：来自浦东新区特殊教育学校的40位听力障碍、智力残疾和脑瘫的学生。“艺术对所有人是平等的。”学校学生管理中心主任张宇希望，当这些特殊孩子出现时，其他人只需要做到“平等”二字。,0,0,0,0,0,1,0,0,0,0,0,1
“大家看这块神奇的石头！这块巨石上的植被，自下而上有地衣、苔藓、草本植物、木本植物，完整地记录了从低等植物群落向高等植物群落几亿年演替的全过程。”暑假期间，福建福州长乐第二中学学生来到武夷山国家公园研学，武夷山国家公园人民法庭庭长姜欢化身导游，一边讲解植物群落的演替过程，一边普及生态环境司法保护工作。“武夷山国家公园是全球生物多样性保护的关键地区之一，也是珍稀、特有野生动植物的基因库。”姜欢介绍，武夷山市人民法院曾审理过一起国家公园内非法采摘国家二级保护野生植物金线兰的案件，被告人为了药用价值偷挖金线兰，受到严厉处罚。“小小的金线兰，看似不起眼，却是这里自然生态系统中不可或缺的一环。国家公园里的一草一木，一山一水，以及栖息于此的飞禽走兽、花鸟鱼虫，都必须用最严密的法治加以保护。”听完讲解，长乐第二中学学生刘文槿很有感触，“我们要认真学法、守法、用法，自觉成为国家公园生物多样性保护的宣传员，守护祖国的蓝天净土和绿水青山。”漫步国家公园，感受自然之美；徜徉翠绿茶园，体验采茶制茶；走进朱熹故居，感悟理学文化……近年来，武夷山市发挥特色优势，依托朱熹园、燕子窠生态茶园、闽越王城国家考古遗址公园、洋庄红色文化园、武夷山国家公园等，推动学校小课堂与社会大课堂内外联动，让思政课更加有声有色。,0,0,1,1,0,0,0,1,0,0,0,0
“大娘，毛巾温度咋样？合适的话就眨眨眼。”近日，记者走进吉林省长春市二道区张淑春大娘家中，护工景印铃正为老人擦拭身体。2018年，张大娘突发脑梗，卧床不起。由于家里并不富裕，难以负担聘请保姆或是护工的费用，只能是老伴王鹏山亲自照顾，“有时间就给她翻翻身、擦一擦。”可70多岁的王大爷做起这些也日渐吃力，再加上缺乏护理知识，“总担心照顾得不到位，她不舒服。”王鹏山说。这是许多失能家庭的共同困境，由于各种原因，“机构不愿进、家庭无力护”。据测算，截至2021年末，长春市有超3万名失能人员享受机构照护保险政策，但仍有66%的失能人员处于居家状态。2021年，作为全国失能人员长期护理保险首批试点城市，长春市开展失能人员长期护理保险居家照护服务，与定点服务机构签订协议，专业护工上门，有温水擦浴、洗头、压疮预防等18项服务项目可供选择。生活照料40元/小时，医疗护理50元/小时，城镇职工、城乡居民按比例报销，保费按照国家要求从医保账户直接拨付。王大爷心里有笔账，护工每周来家里两次，每次2小时，一个月的个人花费不过百来元钱。说话间，那边擦浴已经完成，拥有高级护理证的景印铃开始为老人进行康复训练，边轻柔按摩、活动关节，边跟王大爷介绍要点——按摩力道过重也会伤到肌肉，轻柔一点更好。,0,0,0,1,0,0,0,0,0,1,0,1
“大丝马”由陕西省西咸新区入区企业策划设计，抓取西汉鎏金铜马的文物特征并结合背后的故事，将其设计为战马卡通形象。“这个形象的命名取用了丝绸之路的‘丝’字，寓意‘一带一路’上的文化传播者。”企业负责人田琳表示。西咸新区汉景帝阳陵出土的汉塑衣式彩绘拱手跽坐女俑，如今也有了数字形象。技术人员使用数字采集方式制作数字档案，采用3D建模技术还原文物样貌，借助动作捕捉、渲染等技术，让观众得以欣赏到2000多年前的汉代仕女风姿，感受“文化+科技”带来的全新体验。2021年10月，国家文物局公布了145处大遗址名单，陕西省的15处大遗址中有6处全部或部分位于西咸新区。如何保护传承好这些文化遗产，让“沉睡”的文物资源“活起来”？“我们与多家文博机构开展文物采集、博物馆数字化改造和文创合作，采集文物1万余件，利用数字技术还原、解析并建成历史文化数据资源库——秦汉历史文化资源云。”西咸新区秦汉新城管委会副主任王战武表示，借助数字化技术，游客不但可以看到珍贵的文物，还能详细了解背后的历史故事，感受文旅融合的魅力。文旅融合加速推进。当地推出“考古历史游”多条主题线路，让人们在秦砖汉瓦间感受历史气息。当地还在“陕西文旅惠民平台”推出了国风丝巾、佩饰以及秦汉文化摆件等精致的文创商品，各线路的景区周边配套了精品酒店和民宿，满足游客多元化的需求。,0,0,1,1,0,0,0,0,0,1,0,0
“大湾区5G产业联盟”成立典礼21日在香港举行。全国政协副主席梁振英出席典礼时致辞表示，5G不仅是技术，也不只是技术平台，5G能促进各产业的发展，包括通信、教育、医疗、交通等。大湾区面积广阔，且潜力巨大，通过跨地域和跨产业的合作，可以克服区域内行业的困难。他鼓励社会各界通过“大湾区5G产业联盟”提供的平台，为大湾区发展作出贡献。中国移动广东公司董事长魏明在典礼上致辞时表示，中国移动与华为合作，实现广深港高铁5G全线覆盖，广深港高铁将成为全国第一条5G全线覆盖的高铁线路。“大湾区5G产业联盟”由中国移动香港、中国移动广东、澳门电讯和广东省通信行业协会共同倡导成立，以“战略引领、协同创新、产业推动、开放共用、合作共赢”为宗旨，通过建立资源共享平台，推动粤港澳大湾区技术及产品研发，从而促进大湾区智慧城市群发展。,1,0,0,1,0,0,0,0,1,0,0,0
“等到湿地环境被破坏再提起公益诉讼，付出的成本更多！”为给国家一级重点保护野生动物——中华秋沙鸭留足栖息空间，浙江省丽水市人民检察院第五检察部主任叶波走遍了湿地附近的相关点位。此前，丽水市人民检察院在“益心为公”检察云平台上收到志愿者反映的线索，称即将开工建设的某治理提升改造工程，因建设需要，部分进入湿地保护范围，可能破坏湿地鸟类栖息地。“我们也收到了丽水市人大常委会转交的一份相关代表建议，提出要加强对湿地范围内生物多样性的保护。”叶波说，检察机关在收到案件线索后，迅速通过咨询专家、走访行政机关、实地调研等方式开展调查。调查发现，当地即将动工的项目确实可能致使鸟类栖息环境遭受破坏。检察机关两次联动召开磋商会，各方对栖息地段优化工程方案等问题达成共识，并聘请参会人大代表和志愿者作为监督员，对工程建设进行全程监督。“检察机关对可能导致湿地受损的情况，及时开展以事前防范为重点的预防性公益诉讼，能够有效保护湿地生态。”叶波说。从“治已病”向“治未病”拓展，这是公益诉讼制度的创新探索。近年来，检察机关不断拓展公益诉讼案件范围，不仅法定办案领域持续扩展，监督对象也从“已造成公益损害的”拓展到“损害还没发生但存在损害公益重大风险的”，通过加强预防性公益诉讼，不断推动从源头解决公益损害问题。,0,0,0,1,0,0,0,1,0,0,0,0
——“第七届全国中国特色社会主义理论与实践论坛”述要全国中国特色社会主义理论研究会与山东社会科学院、山东师范大学、山东科技大学联合举办的“第七届全国中国特色社会主义理论与实践论坛暨‘全面小康与第一个百年目标’理论研讨会”近日在山东省青岛市举行。与会者围绕会议主题展开深入研讨。与会者认为，加快形成以国内大循环为主体、国内国际双循环相互促进的新发展格局，是以习近平同志为核心的党中央科学把握国内外发展大势，根据我国发展阶段、环境、条件变化作出的战略决策，是事关全局的系统性深层次变革。要以创新为引领发展的第一动力，深入实施创新驱动发展战略，着力增强自主创新能力，推动内涵型增长和跨越式发展。把构建新发展格局同实施国家区域协调发展战略、建设自由贸易试验区等衔接起来，在有条件的区域率先探索形成新发展格局，努力打造改革开放新高地。,1,0,0,1,0,0,0,0,0,0,0,0
“东方之韵”上海戏曲艺术中心经典剧目展映展演活动将于9月在北京举办。届时，上海戏曲艺术中心的3D戏曲电影京剧《曹操与杨修》、昆剧《景阳钟》及越剧《西厢记》将在中国电影资料馆展映，3部电影的同名剧目舞台演出也将在北京长安大戏院上演。与此同时，“东方之韵·梨园光影”——上海戏曲艺术中心经典戏曲晋京展映研讨会也将举办。9月下旬，3D戏曲电影还将走进北京高校展映。上海戏曲艺术中心党委书记、总裁谷好好说：“我们一直在思考传统艺术如何呼应时代审美，如何吸引青年观众，如何让更多的人领略戏曲之美。3D戏曲电影是一种尝试，它以创新拓路、美学托底，运用高新技术对传统戏曲进行艺术的再创造。”,0,0,1,0,0,0,0,0,0,0,0,0
“改革和法治如鸟之两翼、车之两轮”。党的十八大以来，在习近平法治思想指引下，坚持改革决策和立法决策相统一、相衔接，改革和法治同步推进，增强改革的穿透力，法治保障服务改革发展成效更加显著。处理改革和法治关系，必须立改废释并举。立——编纂民法典，保障人民美好生活；制定乡村振兴促进法，为乡村全面振兴保驾护航；制定海南自由贸易港法，确保各项改革措施于法有据……改——修改立法法，完善立法引领和推动改革创新的体制机制；修改环境保护法、大气污染防治法等，把生态文明建设纳入制度化、法治化轨道……废——先后废止劳动教养和收容教育制度，更好保障公民的人身自由；组织开展与黄河保护法、青藏高原生态保护法实施相关的规范性文件集中清理，推进法律体系与时俱进……释——发布《最高人民法院关于审理垄断民事纠纷案件适用法律若干问题的解释》，维护公平竞争秩序；发布《人民检察院公益诉讼办案规则》，为公益诉讼办案提供系统性的统一规范……6月27日，习近平总书记主持中共中央政治局会议。会议指出，“进一步全面深化改革要总结和运用改革开放以来特别是新时代全面深化改革的宝贵经验”，贯彻的原则之一，就是“坚持全面依法治国，在法治轨道上深化改革、推进中国式现代化，做到改革和法治相统一，重大改革于法有据、及时把改革成果上升为法律制度”。,0,0,0,1,0,0,1,1,0,0,0,0
“改革开放45年来，中国取得了举世瞩目的发展成就，也积累了许多有益经验。中国是深化改革、扩大开放的典范。”上海合作组织前秘书长、乌兹别克斯坦前外交部长弗拉基米尔·诺罗夫日前在接受本报记者采访时表示，中国坚持以高水平开放促进高质量发展，中国式现代化稳步前行，相信中国将取得更好发展，也将为地区和世界经济发展作出更大贡献。诺罗夫长期关注中国发展并多次访华。“中国在改革开放进程中采取循序渐进、先试点后推广的方式，这很适合中国国情，具有中国特色，经验值得总结。”他表示，通过改革开放，中国成功实现从计划经济体制到社会主义市场经济体制的转变，充分挖掘发展潜力，成为世界第二大经济体，2022年国内生产总值达到121万亿元。无论是沿海城市，还是内陆城市，都发生了巨大变化。“这些成就向世界展示了中国特色社会主义道路的成功，为广大发展中国家探索自身发展道路树立了榜样。”“中国改革开放以来，7.7亿农村贫困人口摆脱贫困，创造了人类历史上的奇迹。”诺罗夫说，中国坚持以人民为中心的发展思想，重视社会保障，具有很大的包容性，充分体现了中国特色社会主义制度优势。诺罗夫担任上海合作组织秘书长期间，到访过中国20多个城市，见证了中国式现代化给各地城乡面貌带来的显著改变。,1,0,0,1,0,0,0,0,0,0,0,0
“歌唱我们亲爱的祖国，从今走向繁荣富强……”香港文化中心音乐厅内，香港儿童合唱团团员思瑶正与小伙伴们齐声高歌，台下观众自发加入合唱，现场气氛热烈。心之所系，行之所向。今年1月1日起，《中华人民共和国爱国主义教育法》施行；4月，香港特区政府成立爱国主义教育工作小组，旨在协调特区政府部门和非政府机构推动爱国主义教育，与《中华人民共和国爱国主义教育法》内容对接，在不同层面加强国家历史文化和国情教育，传承和弘扬爱国主义精神。近来，香港的大街小巷、课堂内外，形式多元的爱国主义教育活动吸引了青少年踊跃参与，爱国爱港热潮涌动。深耕细作，厚植爱国爱港情怀曲径蜿蜒，壕沟遍布，港岛筲箕湾的一座小山上，香港海防博物馆向海而立。“这是香港唯一以军事为主题的博物馆，2022年11月重新开放后，我们加强了香港保卫战、东江纵队港九独立大队等关于抗日战争的历史展陈。”香港海防博物馆一级助理馆长梁明颖说，期望观众能更深切地认识这段抗战历史，缅怀当年为保家卫国而牺牲的同胞，明白香港与国家血脉相连，提升国家认同感、归属感和民族自豪感。5月，香港特区政府宣布，香港海防博物馆将于今年9月改设为香港抗战及海防博物馆，通过专题讲座、历史考察、巡回展览等一系列活动，做好香港市民尤其是青少年的爱国主义教育工作。,0,0,0,0,0,0,0,0,1,0,0,0
